Date,AQI
2017-11-24,184.0
2017-11-25,184.0
2017-11-26,197.0
2017-11-27,198.0
2017-11-28,188.0
2017-11-29,173.0
2017-11-30,165.0
2017-12-01,191.0
2017-12-02,191.0
2017-12-03,227.0
2017-12-04,168.0
2017-12-05,198.0
2017-12-06,201.0
2017-12-07,252.0
2017-12-08,310.0
2017-12-09,196.0
2017-12-10,132.0
2017-12-11,147.0
2017-12-12,179.0
2017-12-13,145.0
2017-12-14,115.0
2017-12-15,140.0
2017-12-16,156.0
2017-12-17,225.0
2017-12-18,251.0
2017-12-19,228.0
2017-12-20,223.0
2017-12-21,170.0
2017-12-22,165.0
2017-12-23,159.0
2017-12-24,232.0
2017-12-25,242.0
2017-12-26,274.0
2017-12-27,259.0
2017-12-28,225.0
2017-12-29,177.0
2017-12-30,120.0
2017-12-31,120.0
2018-01-01,120.0
2018-01-02,132.0
2018-01-03,136.0
2018-01-04,182.0
2018-01-05,222.0
2018-01-06,230.0
2018-01-07,224.0
2018-01-08,217.0
2018-01-09,230.0
2018-01-10,229.0
2018-01-11,229.0
2018-01-12,235.0
2018-01-13,214.0
2018-01-14,186.0
2018-01-15,172.0
2018-01-16,138.0
2018-01-17,125.0
2018-01-18,132.0
2018-01-19,111.0
2018-01-20,137.0
2018-01-21,172.0
2018-01-22,160.0
2018-01-23,163.0
2018-01-24,165.0
2018-01-25,139.0
2018-01-26,176.0
2018-01-27,162.0
2018-01-28,160.0
2018-01-29,142.0
2018-01-30,172.0
2018-01-31,134.0
2018-02-01,136.0
2018-02-02,130.0
2018-02-03,111.0
2018-02-04,117.0
2018-02-05,102.0
2018-02-06,108.0
2018-02-07,99.0
2018-02-08,121.0
2018-02-09,86.0
2018-02-10,57.0
2018-02-11,107.0
2018-02-12,118.0
2018-02-13,110.0
2018-02-14,114.0
2018-02-15,111.0
2018-02-16,117.0
2018-02-17,107.0
2018-02-18,87.0
2018-02-19,89.0
2018-02-20,97.0
2018-02-21,100.0
2018-02-22,105.0
2018-02-23,114.0
2018-02-24,116.0
2018-02-25,116.0
2018-02-26,98.0
2018-02-27,116.0
2018-02-28,108.0
2018-03-01,100.0
2018-03-02,92.0
2018-03-03,80.0
2018-03-04,88.0
2018-03-05,83.0
2018-03-06,100.0
2018-03-07,81.0
2018-03-08,112.0
2018-03-09,113.0
2018-03-10,105.0
2018-03-11,88.0
2018-03-12,78.0
2018-03-13,78.0
2018-03-14,69.0
2018-03-15,60.0
2018-03-16,51.0
2018-03-17,61.0
2018-03-18,90.0
2018-03-19,74.0
2018-03-20,76.0
2018-03-21,
2018-03-22,92.0
2018-03-23,93.0
2018-03-24,88.0
2018-03-25,75.0
2018-03-26,79.0
2018-03-27,74.0
2018-03-28,62.0
2018-03-29,53.0
2018-03-30,53.0
2018-03-31,55.0
2018-04-01,52.0
2018-04-02,55.0
2018-04-03,56.0
2018-04-04,56.0
2018-04-05,52.0
2018-04-06,
2018-04-07,76.0
2018-04-08,76.0
2018-04-09,81.0
2018-04-10,59.0
2018-04-11,
2018-04-12,
2018-04-13,46.0
2018-04-14,40.0
2018-04-15,33.0
2018-04-16,49.0
2018-04-17,32.0
2018-04-18,
2018-04-19,42.0
2018-04-20,
2018-04-21,53.0
2018-04-22,47.0
2018-04-23,
2018-04-24,
2018-04-25,79.0
2018-04-26,
2018-04-27,47.0
2018-04-28,51.0
2018-04-29,52.0
2018-04-30,
2018-05-01,88.0
2018-05-02,78.0
2018-05-03,90.0
2018-05-04,43.0
2018-05-05,
2018-05-06,
2018-05-07,
2018-05-08,
2018-05-09,55.0
2018-05-10,
2018-05-11,52.0
2018-05-12,
2018-05-13,84.0
2018-05-14,95.0
2018-05-15,58.0
2018-05-16,
2018-05-17,125.0
2018-05-18,192.0
2018-05-19,
2018-05-20,81.0
2018-05-21,
2018-05-22,65.0
2018-05-23,
2018-05-24,86.0
2018-05-25,62.0
2018-05-26,78.0
2018-05-27,114.0
2018-05-28,103.0
2018-05-29,134.0
2018-05-30,168.0
2018-05-31,150.0
2018-06-01,127.0
2018-06-02,106.0
2018-06-03,129.0
2018-06-04,136.0
2018-06-05,155.0
2018-06-06,87.0
2018-06-07,84.0
2018-06-08,85.0
2018-06-09,91.0
2018-06-10,76.0
2018-06-11,60.0
2018-06-12,69.0
2018-06-13,64.0
2018-06-14,98.0
2018-06-15,128.0
2018-06-16,113.0
2018-06-17,87.0
2018-06-18,79.0
2018-06-19,69.0
2018-06-20,78.0
2018-06-21,88.0
2018-06-22,101.0
2018-06-23,80.0
2018-06-24,89.0
2018-06-25,71.0
2018-06-26,68.0
2018-06-27,56.0
2018-06-28,65.0
2018-06-29,66.0
2018-06-30,96.0
2018-07-01,68.0
2018-07-02,76.0
2018-07-03,70.0
2018-07-04,75.0
2018-07-05,73.0
2018-07-06,85.0
2018-07-07,83.0
2018-07-08,73.0
2018-07-09,75.0
2018-07-10,63.0
2018-07-11,62.0
2018-07-12,79.0
2018-07-13,37.0
2018-07-14,35.0
2018-07-15,31.0
2018-07-16,29.0
2018-07-17,32.0
2018-07-18,39.0
2018-07-19,48.0
2018-07-20,42.0
2018-07-21,73.0
2018-07-22,59.0
2018-07-23,
2018-07-24,55.0
2018-07-25,86.0
2018-07-26,100.0
2018-07-27,85.0
2018-07-28,57.0
2018-07-29,85.0
2018-07-30,85.0
2018-07-31,106.0
2018-08-01,100.0
2018-08-02,68.0
2018-08-03,61.0
2018-08-04,71.0
2018-08-05,77.0
2018-08-06,
2018-08-07,111.0
2018-08-08,47.0
2018-08-09,47.0
2018-08-10,48.0
2018-08-11,49.0
2018-08-12,50.0
2018-08-13,57.0
2018-08-14,60.0
2018-08-15,52.0
2018-08-16,54.0
